metric,unit,year,value,bank
Impairment losses on loans,€ million,2022,-559.0,Alpha Bank
Net banking fee and commission income,€ million,2022,396.3,Alpha Bank
Net interest income,€ million,2022,1306.7,Alpha Bank
Net profit attributable to shareholders,€ million,2022,342.2,Alpha Bank
Operating expenses,€ million,2022,-1074.9,Alpha Bank
Operating income,€ million,2022,2089.0,Alpha Bank
Profit before tax,€ million,2022,563.2,Alpha Bank
Impairment losses on loans,€ million,2023,-381.0,Alpha Bank
Net banking fee and commission income,€ million,2023,373.6,Alpha Bank
Net interest income,€ million,2023,1651.5,Alpha Bank
Net profit attributable to shareholders,€ million,2023,655.0,Alpha Bank
Operating expenses,€ million,2023,-807.5,Alpha Bank
Operating income,€ million,2023,2168.2,Alpha Bank
Profit before tax,€ million,2023,828.3,Alpha Bank
Impairment losses on loans,€ million,2024,-360.0,Alpha Bank
Net banking fee and commission income,€ million,2024,421.0,Alpha Bank
Net interest income,€ million,2024,1646.0,Alpha Bank
Net profit attributable to shareholders,€ million,2024,668.0,Alpha Bank
Operating expenses,€ million,2024,-857.0,Alpha Bank
Operating income,€ million,2024,2272.0,Alpha Bank
Profit before tax,€ million,2024,871.0,Alpha Bank
Impairment losses on loans,€ million,2022,-345.0,Eurobank
Net banking fee and commission income,€ million,2022,387.0,Eurobank
Net interest income,€ million,2022,1456.0,Eurobank
Net profit attributable to shareholders,€ million,2022,1353.0,Eurobank
Operating expenses,€ million,2022,-978.0,Eurobank
Operating income,€ million,2022,2089.0,Eurobank
Profit before tax,€ million,2022,766.0,Eurobank
Impairment losses on loans,€ million,2023,-413.0,Eurobank
Net banking fee and commission income,€ million,2023,447.0,Eurobank
Net interest income,€ million,2023,2174.0,Eurobank
Net profit attributable to shareholders,€ million,2023,1148.0,Eurobank
Operating expenses,€ million,2023,-1078.0,Eurobank
Operating income,€ million,2023,2821.0,Eurobank
Profit before tax,€ million,2023,1386.0,Eurobank
Impairment losses on loans,€ million,2024,-319.0,Eurobank
Net banking fee and commission income,€ million,2024,561.0,Eurobank
Net interest income,€ million,2024,2504.0,Eurobank
Net profit attributable to shareholders,€ million,2024,1458.0,Eurobank
Operating expenses,€ million,2024,-1071.0,Eurobank
Operating income,€ million,2024,3242.0,Eurobank
Profit before tax,€ million,2024,1917.0,Eurobank
Impairment losses on loans,€ million,2022,-523.0,Piraeus Bank
Net banking fee and commission income,€ million,2022,372.0,Piraeus Bank
Net interest income,€ million,2022,1304.0,Piraeus Bank
Net profit attributable to shareholders,€ million,2022,864.0,Piraeus Bank
Operating expenses,€ million,2022,-867.0,Piraeus Bank
Operating income,€ million,2022,2516.0,Piraeus Bank
Profit before tax,€ million,2022,943.0,Piraeus Bank
Impairment losses on loans,€ million,2023,-404.0,Piraeus Bank
Net banking fee and commission income,€ million,2023,468.0,Piraeus Bank
Net interest income,€ million,2023,2003.0,Piraeus Bank
Net profit attributable to shareholders,€ million,2023,788.0,Piraeus Bank
Operating expenses,€ million,2023,-863.0,Piraeus Bank
Operating income,€ million,2023,2607.0,Piraeus Bank
Profit before tax,€ million,2023,1078.0,Piraeus Bank
Impairment losses on loans,€ million,2024,-181.0,Piraeus Bank
Net banking fee and commission income,€ million,2024,561.0,Piraeus Bank
Net interest income,€ million,2024,2088.0,Piraeus Bank
Net profit attributable to shareholders,€ million,2024,1066.0,Piraeus Bank
Operating expenses,€ million,2024,-877.0,Piraeus Bank
Operating income,€ million,2024,2757.0,Piraeus Bank
Profit before tax,€ million,2024,1436.0,Piraeus Bank
Net interest income,€ million,2022,1369.0,NBG
Net banking fee and commission income,€ million,2022,347.0,NBG
Operating income,€ million,2022,2355.0,NBG
Operating expenses,€ million,2022,-475.0,NBG
Impairment losses on loans,€ million,2022,-280.0,NBG
Profit before tax,€ million,2022,1155.0,NBG
Net profit attributable to shareholders,€ million,2022,1120.0,NBG
Net interest income,€ million,2023,2263.0,NBG
Net banking fee and commission income,€ million,2023,382.0,NBG
Operating income,€ million,2023,2760.0,NBG
Operating expenses,€ million,2023,-485.0,NBG
Impairment losses on loans,€ million,2023,-268.0,NBG
Profit before tax,€ million,2023,1479.0,NBG
Net profit attributable to shareholders,€ million,2023,1106.0,NBG
Net interest income,€ million,2024,2356.0,NBG
Net banking fee and commission income,€ million,2024,427.0,NBG
Operating income,€ million,2024,2885.0,NBG
Operating expenses,€ million,2024,-581.0,NBG
Impairment losses on loans,€ million,2024,-180.0,NBG
Profit before tax,€ million,2024,1517.0,NBG
Net profit attributable to shareholders,€ million,2024,1158.0,NBG
