bank,year,nii,operating_income,operating_expenses,net_profit,impairment,loans,deposits,equity,total_assets,roe,cost_to_income,loan_to_deposit,nim,nii_yoy,profit_yoy,assets_yoy,opincome_yoy
Eurobank,2022,1456.0,2089.0,-978.0,1353.0,-345.0,41677.0,55427.0,7035.0,81471.0,19.2,46.8,75.2,1.79,,,,
Eurobank,2023,2174.0,2821.0,-1078.0,1148.0,-413.0,41576.0,57423.0,7330.0,79815.0,15.7,38.2,72.4,2.72,49.3,-15.2,-2.0,35.0
Eurobank,2024,2504.0,3242.0,-1071.0,1458.0,-319.0,50953.0,74600.0,8636.0,101151.0,16.9,33.0,68.3,2.48,15.2,27.0,26.7,14.9
Alpha Bank,2022,1306.7,2089.0,-1074.9,342.2,-559.0,38746.9,50256.6,6199.6,77200.6,5.5,51.5,77.1,1.69,,,,
Alpha Bank,2023,1651.5,2168.2,-807.5,655.0,-381.0,36180.9,48468.8,7288.7,72694.1,9.0,37.2,74.6,2.27,26.4,91.4,-5.8,3.8
Alpha Bank,2024,1646.0,2272.0,-857.0,668.0,-360.0,39070.0,51063.0,8155.0,70954.0,8.2,37.7,76.5,2.32,-0.3,2.0,-2.4,4.8
Piraeus Bank,2022,1304.0,2516.0,-867.0,864.0,-523.0,37367.0,58372.0,6512.0,75403.0,13.3,34.5,64.0,1.73,,,,
Piraeus Bank,2023,2003.0,2607.0,-863.0,788.0,-404.0,37527.0,59567.0,7353.0,76450.0,10.7,33.1,63.0,2.62,53.6,-8.8,1.4,3.6
Piraeus Bank,2024,2088.0,2757.0,-877.0,1066.0,-181.0,40685.0,62853.0,8273.0,80044.0,12.9,31.8,64.7,2.61,4.2,35.3,4.7,5.8
NBG,2022,1369.0,2355.0,-475.0,1120.0,-280.0,35561.0,55192.0,6887.0,78113.0,16.3,20.2,64.4,1.75,,,,
NBG,2023,2263.0,2760.0,-485.0,1106.0,-268.0,34223.0,57126.0,7652.0,74584.0,14.5,17.6,59.9,3.03,65.3,-1.2,-4.5,17.2
NBG,2024,2356.0,2885.0,-581.0,1158.0,-180.0,36139.0,57593.0,8452.0,74957.0,13.7,20.1,62.7,3.14,4.1,4.7,0.5,4.5
